oci,timespan,citing,creation,author_sc,journal_sc,cited
02001010806362801020901026300010563000006096307-02001010101361937010704046306010908370200000337291100010200073733,P11Y11M,10.1186/s12912-015-0069-7,2015-03-30,no,no,10.1111/j.1744-6198.2003.tb01207.x
02001010806362801020901026300010563000006096307-02001010505360200010336030203040901,P2Y,10.1186/s12912-015-0069-7,2015-03-30,no,no,10.1155/2013/323491
02001010806362801020901026300010563000006096307-020010107063610192537010201370437030701,P50Y5M,10.1186/s12912-015-0069-7,2015-03-30,no,no,10.1176/ajp.121.4.371
02001010806362801020901026300010563000006096307-020010107073601000504070703080102040306060801,P2Y11M27D,10.1186/s12912-015-0069-7,2015-03-30,no,no,10.1177/1054773812436681
02001010806362801020901026300010563000006096307-0200108090136272923253701073701370605370503010700,P12Y,10.1186/s12912-015-0069-7,2015-03-30,no,no,10.1891/rtnp.17.1.65.53170
02001010806362801020901026300010563000006096307-02003090208360000020200010204630200010000080002630001,P4Y7M27D,10.1186/s12912-015-0069-7,2015-03-30,no,no,10.3928/00220124-20100802-01
02001010806362801020901026300010563000006096307-020050107023612242330370607033702093701370203,P6Y10M,10.1186/s12912-015-0069-7,2015-03-30,no,no,10.5172/conu.673.29.1.23
020010107073601030603040509030103050001030506-0200100000136102712171823291437010600370737090006,P13Y5M1D,10.1177/1363459313501356,2013-09-11,no,no,10.1001/archinte.160.7.906
020010107073601030603040509030103050001030506-020010000013619102210370209013701043701070503,P9Y4M28D,10.1177/1363459313501356,2013-09-11,no,no,10.1001/jama.291.14.1753
020010107073601030603040509030103050001030506-0200100000236000407000001030308093712170105,P8Y7M14D,10.1177/1363459313501356,2013-09-11,no,no,10.1002/0470013389.ch15
020010107073601030603040509030103050001030506-02001000002361210282537060203,P12Y,10.1177/1363459313501356,2013-09-11,no,no,10.1002/casp.623
020010107073601030603040509030103050001030506-02001000007362800000103046300000763000703006335,P6Y3M2D,10.1177/1363459313501356,2013-09-11,no,no,10.1007/s00134-007-0730-z
020010107073601030603040509030103050001030506-02001000106361937121212370200000837000537000001,P4Y11M,10.1177/1363459313501356,2013-09-11,no,no,10.1016/j.ccc.2008.05.001
020010107073601030603040509030103050001030506-0200100010636193718121223370200000737000137000004,P6Y1M,10.1177/1363459313501356,2013-09-11,no,no,10.1016/j.iccn.2007.01.004
