oci,timespan,citing,creation,author_sc,journal_sc,cited
0200101010136193701030909630605070637020001013700020407043733-0200100010636280009060463030309075809095908000006026307,P12Y4M,10.1111/j.1399-6576.2011.02474.x,2011-06-09,no,no,10.1016/s0964-3397(99)80062-7
0200100040636193701040708630501050337020000033700000000043733-0200100010636280009060463030309075809095908000006026307,P3Y11M,10.1046/j.1478-5153.2003.00004.x,2003-01,no,no,10.1016/s0964-3397(99)80062-7
0200101010136193701040701630607010237020000073700000500053733-0200100010636280009060463030309075809095908000006026307,P8Y10M,10.1111/j.1471-6712.2007.00505.x,2007-12,no,no,10.1016/s0964-3397(99)80062-7
0200101010136193701040701630607010237020000073700000501073733-0200100010636280009060463030309075809095908000006026307,P9Y4M,10.1111/j.1471-6712.2007.00517.x,2008-06,no,no,10.1016/s0964-3397(99)80062-7
020010107073601030603040509030103050001030506-0200100010636280009060463030309075809095908000006026307,P14Y7M,10.1177/1363459313501356,2013-09-11,no,no,10.1016/s0964-3397(99)80062-7
0200100040636193701030605630206040837020000033700020702063733-0200100010636280009060463030309075809095908000006026307,P4Y6M,10.1046/j.1365-2648.2003.02726.x,2003-08,no,no,10.1016/s0964-3397(99)80062-7
0200100040636193701030605630207000237020000023700000603083733-0200100010636280009060463030309075809095908000006026307,P3Y7M,10.1046/j.1365-2702.2002.00638.x,2002-09,no,no,10.1016/s0964-3397(99)80062-7
0200101010136193701030605630200040437020000053700040303063733-0200100010636280009060463030309075809095908000006026307,P6Y9M,10.1111/j.1365-2044.2005.04336.x,2005-11,no,no,10.1016/s0964-3397(99)80062-7
0200101010136193701070408630307040337020001003700000203023733-0200100010636280009060463030309075809095908000006026307,P12Y3M,10.1111/j.1748-3743.2010.00232.x,2011-05-04,no,no,10.1016/s0964-3397(99)80062-7
0200309010836192818122237010537020005-0200100010636280009060463030309075809095908000006026307,P8Y,10.3918/jsicm.15.205,2008,no,no,10.1016/s0964-3397(99)80062-7
0200309010836192818122237010537050403-0200100010636280009060463030309075809095908000006026307,P8Y,10.3918/jsicm.15.543,2008,no,no,10.1016/s0964-3397(99)80062-7
0200101010136193701030602630100010737020000043700000005053733-0200100010636280009060463030309075809095908000006026307,P5Y3M,10.1111/j.1362-1017.2004.00055.x,2004-05,no,no,10.1016/s0964-3397(99)80062-7
0200101010136193701030602630100010737020000043700000006063733-0200100010636280009060463030309075809095908000006026307,P5Y5M,10.1111/j.1362-1017.2004.00066.x,2004-07,no,no,10.1016/s0964-3397(99)80062-7
02001000308362804010309046300010763000003026309-0200100010636280009060463030309075809095908000006026307,P18Y9M,10.1038/s41394-017-0032-9,2017-11-30,no,no,10.1016/s0964-3397(99)80062-7
02001020207362314303700110001031403010802000108051113-0200100010636280009060463030309075809095908000006026307,P12Y,10.1227/neu.0b013e31820185bd,2011-02-01,no,no,10.1016/s0964-3397(99)80062-7
02001000907360001371212223700000000010405050807370106040201371111-0200100010636280009060463030309075809095908000006026307,P5Y9M,10.1097/01.ccm.0000145587.16421.bb,2004-11,no,no,10.1016/s0964-3397(99)80062-7
02001000800360107040802060200070001040306090201-0200100010636280009060463030309075809095908000006026307,P7Y11M,10.1080/17482620701436921,2007-01,no,no,10.1016/s0964-3397(99)80062-7
0200100090736000000000207020763020000030007000000630000000007-0200100010636280009060463030309075809095908000006026307,P4Y5M,10.1097/00002727-200307000-00007,2003-07,no,no,10.1016/s0964-3397(99)80062-7
020010108063601040702630609050563056304-0200100010636280009060463030309075809095908000006026307,P7Y1M,10.1186/1472-6955-5-4,2006-03-08,no,no,10.1016/s0964-3397(99)80062-7
0200101080636010407026306090603630763010106-0200100010636280009060463030309075809095908000006026307,P8Y5M,10.1186/1472-6963-7-116,2007-07-23,no,no,10.1016/s0964-3397(99)80062-7
0200101010136193700000001630501070237020000043700000400013733-0200100010636280009060463030309075809095908000006026307,P5Y5M,10.1111/j.0001-5172.2004.00401.x,2004-07,no,no,10.1016/s0964-3397(99)80062-7
0200101010136193701040708630501050337020000073700000203053733-0200100010636280009060463030309075809095908000006026307,P9Y1M,10.1111/j.1478-5153.2007.00235.x,2008-03,no,no,10.1016/s0964-3397(99)80062-7
0200101010136193701040708630501050337020001013700000405043733-0200100010636280009060463030309075809095908000006026307,P12Y5M,10.1111/j.1478-5153.2011.00454.x,2011-07-19,no,no,10.1016/s0964-3397(99)80062-7
020010101050336191012122337073701490200-0200100010636280009060463030309075809095908000006026307,P11Y,10.11153/jaccn.7.1_20,2011,no,no,10.1016/s0964-3397(99)80062-7
02001010901360009060907030300000523140801092410-0200100010636280009060463030309075809095908000006026307,P6Y7M,10.1191/0969733005ne819oa,2005-09,no,no,10.1016/s0964-3397(99)80062-7
02001000907361212223700000000000000000000000001010906-0200100010636280009060463030309075809095908000006026307,P16Y8M,10.1097/ccm.0000000000001196,2015-10,no,no,10.1016/s0964-3397(99)80062-7
02001000907361212223700000000000000000000000003020909-0200100010636280009060463030309075809095908000006026307,P19Y7M,10.1097/ccm.0000000000003299,2018-09,no,no,10.1016/s0964-3397(99)80062-7
02001000907361212223700110001031403010802011408091208-0200100010636280009060463030309075809095908000006026307,P12Y6M,10.1097/ccm.0b013e31821e89c8,2011-08,no,no,10.1016/s0964-3397(99)80062-7
0200101010136193701030605630206040837020000043700030006063733-0200100010636280009060463030309075809095908000006026307,P5Y5M,10.1111/j.1365-2648.2004.03066.x,2004-07,no,no,10.1016/s0964-3397(99)80062-7
0200101010136193701030605630206040837020001003700050505083733-0200100010636280009060463030309075809095908000006026307,P11Y11M,10.1111/j.1365-2648.2010.05558.x,2011-01-07,no,no,10.1016/s0964-3397(99)80062-7
0200101010136193701030605630206040837020001013700050701043733-0200100010636280009060463030309075809095908000006026307,P12Y4M,10.1111/j.1365-2648.2011.05714.x,2011-06-07,no,no,10.1016/s0964-3397(99)80062-7
0200101010136193701030605630207000237020000063700010800063733-0200100010636280000020063070408095800015900000002026300,P5Y2M,10.1111/j.1365-2702.2006.01806.x,2007-05,no,no,10.1016/s0020-7489(01)00022-0
020010107073601000708030900030006020902010508-0200100010636280000020063070408095800015900000002026300,P4Y1M,10.1177/1078390306292158,2006-04,no,no,10.1016/s0020-7489(01)00022-0
0200101010136193701030605630207000237020001013700030804093733-0200100010636280000020063070408095800015900000002026300,P9Y6M,10.1111/j.1365-2702.2011.03849.x,2011-09-21,no,no,10.1016/s0020-7489(01)00022-0
0200101010136193701040606630706093337020000043700000109073733-0200100010636280000020063070408095800015900000002026300,P2Y10M,10.1111/j.1466-769x.2004.00197.x,2005-01,no,no,10.1016/s0020-7489(01)00022-0
020010000023616252837060802-0200100010636280000020063070408095800015900000002026300,P0Y,10.1002/gps.682,2002,no,no,10.1016/s0020-7489(01)00022-0
0200101010136193701040701630607010237020000043700000205083733-0200100010636280000020063070408095800015900000002026300,P2Y3M,10.1111/j.1471-6712.2004.00258.x,2004-06,no,no,10.1016/s0020-7489(01)00022-0
0200101010136193701040701630607010237020000073700000500053733-0200100010636280000020063070408095800015900000002026300,P5Y9M,10.1111/j.1471-6712.2007.00505.x,2007-12,no,no,10.1016/s0020-7489(01)00022-0
0200101010136193701070408630307040337020001003700000203023733-0200100010636280000020063070408095800015900000002026300,P9Y2M,10.1111/j.1748-3743.2010.00232.x,2011-05-04,no,no,10.1016/s0020-7489(01)00022-0
0200508010236121223370603070603-02001010806362801020901026300010563000006096307,P2Y10M27D,10.5812/ccn.63763,2018-02-26,no,no,10.1186/s12912-015-0069-7
020010101013619241223370103070204-020010107073601030603040509030103050001030506,P3Y6M11D,10.1111/jocn.13724,2017-03-22,no,no,10.1177/1363459313501356
